product_code,status,category,source_tab,width_cm,length_cm,size_cm,width_ft,length_ft,size_ft,updated_at
5068,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5069,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5071,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5072,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5073,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5074,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5075,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5076,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5077,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5078,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5079,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5080,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5081,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5082,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5083,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5084,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5085,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5086,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5087,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5088,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5089,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5090,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5091,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5092,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5093,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5094,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5095,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5096,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5097,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5098,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5099,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5100,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5101,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5102,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5103,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5104,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5105,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5106,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5107,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5108,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5109,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5110,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5111,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5112,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5113,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5114,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5115,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5116,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5117,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5118,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5119,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5120,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5121,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5122,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5123,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5124,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5125,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5126,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5127,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5128,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5129,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
5130,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-100,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-101,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-11,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-12,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-123,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-124,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-125,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-126,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-127,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
E-128,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
